familly;genus;species;commercial name;id;a;j;b;c;d;e;f;i;h;g;k;Reference;DOI;
Calophyllaceae;Mammea;africana;Oboto;Mammea africana;0,75;5,2;0,44;9,5;6;1,6;37;65;115;16040;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707038;
Malvaceae;Mansonia;altissima;Bete;Mansonia altissima;0,66;3,8;0,44;7,4;4,6;1,6;28;60;110;13620;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707039;
Caesalpiniaceae;Microberlinia;-;Zingana;Microberlinia sp.;0,79;5;0,56;11;8,8;1,3;30;62;110;17520;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707040;
Moraceae;Milicia;excelsa;Iroko;Milicia excelsa;0,64;4,1;0,44;5,4;3,5;1,5;23;54;87;12840;1,5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707041;
Fabaceae;Milletia;-;Wengé;Milletia laurentii;0,87;9,1;0,69;9,1;5,9;1,5;22;85;144;21050;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707042;
Caesalpiniaceae;Monopetalanthus;-;Andoung;Monopetalanthus sp.;0,59;3;0,46;7,4;4;1,9;28;48;90;14010;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707043;
Moraceae;Morus;mesozygia;Difou;Morus mesozygia;0,84;9,7;0,46;5,7;3,2;1,8;21;86;143;18490;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707044;
Rubiaceae;Nauclea;-;Bilinga;Nauclea diderrichii;0,76;5,3;0,55;7,5;4,5;1,7;25;63;95;14660;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707045;
Malvaceae;Nesogoronia;-;Kotibe;Nesogoronia sp.;0,76;5;0,5;7,5;5,1;1,5;30;67;120;13020;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707046;
Olacaceae;Ongokea;gore;Angueuk;Ongokea gore;0,88;5,8;0,57;11,8;4,5;2,6;30;67;107;15610;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707047;
Caesalpiniaceae;Oxystigma;-;Tchitola;Oxystigma sp.;0,64;2,9;0,45;7,5;3,9;1,9;28;58;88;14960;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707048;
Fabaceae;Pericopsis;elata;Afromosia;Pericopsis elata;0,74;7;0,5;5,9;3,2;1,8;20;64;93;13140;1,5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707050;
Lecythidaceae;Petersianthus;macrocarpus;Essia;Petersianthus macrocarpus;0,8;4;0,53;9,2;4,7;2;36;57;103;12870;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707051;gray30
Mimosaceae;Piptadeniastrum;africanum;Dabema;Piptadeniastrum africanum;0,7;4,4;0,55;8,5;3,8;2,2;27;57;98;15190;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707052;
Rhizophoraceae;Poga;oleosa;Ovoga;Poga oleosa;0,47;1,6;0,45;7,3;2,7;2,7;33;38;63;9320;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707053;
Combretaceae;Pteleolepsis;hylodendron;Osanga;Pteleolepsis hylodendron ;0,8;6,3;0,41;5,8;3,6;1,6;34;70;110;14100;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707054;
Fabaceae;Pterocarpus;-;Padouk;Pterocarpus sp.;0,79;8,3;0,44;5;3,2;1,6;21;65;116;15870;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707055;
Fabaceae;Pterocarpus;-;Vene;Pterocarpus erinaceus;0,89;9,5;0,34;5,9;3,2;1,8;21;76;130;15670;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707056;
Malvaceae;Pterygota;-;Koto;Pterygota sp.;0,59;2,5;0,57;9,6;4,5;2,1;25;54;96;13140;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707057;
Myristicaceae;Pycnanthus;angolensis;Ilomba;Pycnanthus angolensis;0,49;1,4;0,39;8,6;4,6;1,9;33;38;63;10130;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707058;
Malvaceae;Rhodognaphalon;-;Kondroti;Rhodognaphalon sp.;0,46;1,4;0,4;8,2;4,3;1,9;38;35;58;8760;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707059;
Euphrobiaceae;Ricinodendron;heudelotii;Essessang;Ricinodendron heudelotii;0,26;0,8;0,21;4,8;2;2,4;36;20;31;5200;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707060;
Humiriaceae;Sacoglottis;gabonensis;Ozouga;Sacoglottis gabonensis;0,89;8,1;0,47;9,1;5,5;1,7;31;84;138;21770;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707061;
Burseraceae;Dacryodes ;-;Safukala;Dacryodes sp.;0,68;5,2;0,49;7,9;5;1,6;30;62;112;16090;4;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707062;
Achariaceae;Scottela;-;Akossika;Scottellia klaineana;0,66;3,4;0,53;9,3;4,4;2,1;28;56;94;12750;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707063;
Myristicaceae;Scyphocephallum ;manii;Sorro;Scyphocephallum manii;0,59;2,8;0,41;6,5;3,5;1,9;25;46;78;13300;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707064;
Caesalpiniaceae;Sindoropsis;letestui;Gheombi;Sindoropsis letestui;0,72;5,4;0,55;6,8;3,7;1,8;22;61;115;18640;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707065;
Myristicaceae;Staudtia;kamerunensis;Niove;Staudtia kamerunensis;0,88;7,5;0,56;6;4,6;1,3;24;88;151;18510;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707066;
